Date,terapia_intensiva,nuovi_attualmente_positivi,tamponi,totale_casi,ricoverati_con_sintomi,totale_attualmente_positivi,dimessi_guariti,totale_ospedalizzati,deceduti,isolamento_domiciliare24/02/2020,4,32,2200,33,12,32,0,16,1,16
25/02/2020,7,10,3780,43,12,42,0,19,1,23
26/02/2020,8,27,4900,71,16,69,0,24,2,45
27/02/2020,8,40,6164,111,19,109,0,27,2,82
28/02/2020,9,40,7414,151,24,149,0,33,2,116
29/02/2020,11,40,8659,191,24,189,0,35,2,154
01/03/2020,13,72,9056,263,51,261,0,64,2,197
02/03/2020,14,10,9782,273,53,271,0,67,2,204
03/03/2020,19,26,10176,307,49,297,7,68,3,229
04/03/2020,23,48,10515,360,76,345,9,99,6,246
05/03/2020,24,35,11949,407,92,380,17,116,10,264
06/03/2020,27,74,13023,488,117,454,22,144,12,310
07/03/2020,41,51,14429,543,123,505,25,164,13,341
08/03/2020,47,118,15918,670,146,623,29,193,18,430
09/03/2020,51,71,15956,744,186,694,30,237,20,457
10/03/2020,67,89,16643,856,204,783,47,271,26,512
11/03/2020,68,157,21400,1023,262,940,54,330,29,610
12/03/2020,85,357,23438,1384,360,1297,55,445,32,852
13/03/2020,107,156,25691,1595,366,1453,100,473,42,980
14/03/2020,119,322,26980,1937,366,1775,107,485,55,1290
15/03/2020,129,214,32546,2172,426,1989,120,555,63,1434
16/03/2020,156,285,35052,2473,498,2274,130,654,69,1620
17/03/2020,171,214,35478,2704,548,2488,136,719,80,1769
18/03/2020,195,465,40841,3214,646,2953,167,841,94,2112
19/03/2020,209,216,44658,3484,771,3169,200,980,115,2189
20/03/2020,236,508,49288,4031,843,3677,223,1079,131,2598
21/03/2020,249,537,53642,4617,942,4214,257,1191,146,3023
22/03/2020,255,430,57671,5122,1113,4644,309,1368,169,3276
23/03/2020,281,342,61115,5505,1206,4986,327,1487,192,3499
24/03/2020,304,365,66178,5948,1318,5351,381,1622,216,3729
25/03/2020,316,394,70877,6442,1407,5745,439,1723,258,4022
